Organisation,Mission_Status
VKS RF,Success
SpaceX,Success
CASC,Success
CASC,Success
Rocket Lab,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
ISA,Success
Virgin Galactic,Success
SpaceX,Success
CAS Space,Success
IRGC,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
MHI,Success
OrienSpace,Success
ExPace,Success
CASC,Success
ULA,Success
SpaceX,Success
ExPace,Success
SpaceX,Success
SpaceX,Success
ISRO,Success
CASC,Success
SpaceX,Success
SpaceX,Success
VKS RF,Success
ExPace,Success
CASC,Success
CASC,Success
ExPace,Success
SpaceX,Success
SpaceX,Success
Firefly,Partial Failure
VKS RF,Success
Blue Origin,Success
SpaceX,Success
i-Space,Success
Roscosmos,Success
CASC,Success
Rocket Lab,Success
CASC,Success
CASC,Success
Landspace,Success
SpaceX,Success
SpaceX,Success
CASC,Success
Galactic Energy,Success
ADD,Success
CASC,Success
SpaceX,Success
SpaceX,Success
Roscosmos,Success
SpaceX,Success
VKS RF,Success
CASC,Success
SpaceX,Success
NADA,Success
SpaceX,Success
SpaceX,Partial Failure
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
CASC,Success
Virgin Galactic,Success
CASC,Success
SpaceX,Success
SpaceX,Success
VKS RF,Success
CASC,Success
CASC,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
Arianespace,Success
ULA,Success
Virgin Galactic,Success
SpaceX,Success
CASC,Success
SpaceX,Success
IRGC,Success
CASC,Success
SpaceX,Success
SpaceX,Success
Galactic Energy,Failure
SpaceX,Success
Rocket Lab,Failure
CASC,Success
SpaceX,Success
Roscosmos,Success
Firefly,Success
SpaceX,Success
ULA,Success
CASC,Success
SpaceX,Success
Virgin Galactic,Success
MHI,Success
CASC,Success
Galactic Energy,Success
SpaceX,Success
SpaceX,Success
ISRO,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
Galactic Energy,Success
Rocket Lab,Success
NADA,Failure
Roscosmos,Success
SpaceX,Success
CASC,Success
SpaceX,Success
ExPace,Success
CASC,Success
SpaceX,Success
Roscosmos,Success
Virgin Galactic,Success
Galactic Energy,Success
CASC,Success
SpaceX,Success
VKS RF,Success
SpaceX,Success
SpaceX,Success
CASC,Success
Northrop,Success
ISRO,Success
SpaceX,Success
SpaceX,Success
CASC,Success
SpaceX,Success
CASC,Success
Galactic Energy,Success
SpaceX,Success
ExPace,Success
Rocket Lab,Success
SpaceX,Success
ISRO,Success
Landspace,Success
SpaceX,Success
CASC,Success
SpaceX,Success
Arianespace,Success
SpaceX,Success
Virgin Galactic,Success
Roscosmos,Success
SpaceX,Success
ULA,Success
SpaceX,Success
CASC,Success
SpaceX,Success
Rocket Lab,Success
CASC,Success
SpaceX,Success
SpaceX,Success
ExPace,Success
CAS Space,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
NADA,Failure
CASC,Success
ISRO,Success
SpaceX,Success
Roscosmos,Success
Rocket Lab,Success
Virgin Galactic,Success
KARI,Success
Roscosmos,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
CASC,Success
SpaceX,Success
SpaceX,Success
CASC,Success
Rocket Lab,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
SpaceX,Success
Virgin Galactic,Success
