Organisation,Location
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"Bo Run Jiu Zhou Barge (Area 2), China Coastal Waters"
CASC,"LC-3, Xichang Satellite Launch Center, China"
Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA"
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran"
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
CAS Space,"Site 130, Jiuquan Satellite Launch Center, China"
IRGC,"Launch Platform, Shahrud Missile Test Site, Iran"
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA"
CASC,"LC-201, Wenchang Space Launch Site, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
OrienSpace,"Haiyang Spaceport, China Coastal Waters"
ExPace,"Site 95A, Jiuquan Satellite Launch Center, China"
CASC,"LC-3, Xichang Satellite Launch Center, China"
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
ExPace,"Site 95A, Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
ExPace,"Site 95A, Jiuquan Satellite Launch Center, China"
CASC,"LC-2, Xichang Satellite Launch Center, China"
CASC,"Bo Run Jiu Zhou Barge (Area 1), China Coastal Waters"
ExPace,"Site 95A, Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
Firefly,"SLC-2W, Vandenberg SFB, California, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
Blue Origin,"Launch Site One, West Texas, Texas, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
i-Space,"Site 95A, Jiuquan Satellite Launch Center, China"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
CASC,"LC-101, Wenchang Space Launch Site, China"
Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
CASC,"LC-3, Xichang Satellite Launch Center, China"
Landspace,"Site 96, Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"Bo Run Jiu Zhou Barge (Area 1), China Coastal Waters"
Galactic Energy,"Site 95A, Jiuquan Satellite Launch Center, China"
ADD,"ADD Offshore launch platform, Jeju Island, South Korea"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"LC-3, Xichang Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
NADA,"Pad 2, Sohae Satellite Launching Station, North Korea"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"Orbital Launch Pad A, Starbase, Texas, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA"
CASC,"LC-2, Xichang Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"LC-201, Wenchang Space Launch Site, China"
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA"
CASC,"LC-9A, Taiyuan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia"
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
CASC,"LC-3, Xichang Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"SLC-4E, Vandenberg SFB, California, USA"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA"
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA"
