Organisation,Details,Rocket_Status,Price
VKS RF,Soyuz 2.1v | Cosmos 2575,Active,
SpaceX,Falcon 9 Block 5 | PACE,Active,67.0
CASC,Jielong-3 | 9 satellites,Active,
CASC,Long March 2C | Geely Constellation Group 02,Active,30.8
Rocket Lab,Electron/Curie | Four Of A Kind,Active,7.5
SpaceX,Falcon 9 Block 5 | CRS NG-20,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-12,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-38,Active,67.0
ISA,"Simorgh | Mahda, Keyhan-2 & Hatef-1",Active,
Virgin Galactic,SpaceShipTwo | Galactic-06,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 7-11,Active,67.0
CAS Space,Kinetica 1 | Third Flight,Active,
IRGC,Qaem 100 | Soraya,Active,
SpaceX,Falcon 9 Block 5 | Axiom Mission 3 (AX-3),Active,67.0
CASC,Long March 7 | Tianzhou 7,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-37,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-10,Active,67.0
MHI,H-IIA 202 | IGS-Optical 8,Active,90.0
OrienSpace,Gravity-1 | Maiden flight,Active,27.22
ExPace,Kuaizhou 1A | Tianxing-1-02,Active,5.8
CASC,Long March 2C | Einstein Probe,Active,30.8
ULA,Vulcan VC2 | Peregrine Mission One,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-35,Active,67.0
ExPace,Kuaizhou 1A | Tianmu-1 15-18,Active,5.8
SpaceX,Falcon 9 Block 5 | Ovzon-3,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-9,Active,67.0
ISRO,PSLV-DL | XPoSat,Active,
CASC,Long March 2C/YZ-1S | SatNet test satellites,Active,30.8
SpaceX,Falcon 9 Block 5 | Starlink Group 6-36,Active,67.0
SpaceX,Falcon Heavy | USSF-52 (OTV-7),Active,97.0
VKS RF,Soyuz 2.1v | Cosmos 2574,Active,
ExPace,Kuaizhou 1A | Tianmu-1 19-22,Active,5.8
CASC,Long March 3B/YZ-1 | Beidou-3 M25 & M26,Active,
CASC,Long March 11H | Shiyan 24C,Active,5.3
ExPace,Kuaizhou 1A | Tianmu-1 11-14,Active,5.8
SpaceX,Falcon 9 Block 5 | SARah 2 & 3,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-32,Active,67.0
Firefly,Alpha | Fly the Lightning,Active,15.0
VKS RF,Soyuz 2.1b | Cosmos 2573,Active,20.0
Blue Origin,New Shepard | NS-24,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-34,Active,67.0
i-Space,Hyperbola-1 | DEAR-1,Active,
Roscosmos,Soyuz 2.1b/Fregat-M | Arktika-M n°2,Active,25.0
CASC,Long March 5 | Yaogan 41,Active,
Rocket Lab,Electron/Curie | The Moon God Awakens,Active,7.5
CASC,Long March 2F/T | Experimental Spaceplane (CSSHQ),Active,
CASC,Long March 2D | Yaogan 39 Group 05,Active,29.75
Landspace,ZhuQue-2 | Flight 3,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 7-8,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-33,Active,67.0
CASC,Jielong-3 | SatNet test satellite,Active,
Galactic Energy,Ceres-1 | We Won’t Stop,Active,4.38
ADD,South Korean ADD Solid-Fuel SLV (3 stage) | S-STEP,Active,
CASC,Long March 2C | MisrSat-2,Active,30.8
SpaceX,Falcon 9 Block 5 | Starlink Group 6-31,Active,67.0
SpaceX,Falcon 9 Block 5 | 425 Project Flight 1 & Rideshares,Active,67.0
Roscosmos,Soyuz 2.1a | Progress MS-25,Active,17.42
SpaceX,Falcon 9 Block 5 | Starlink Group 6-30,Active,67.0
VKS RF,Soyuz 2.1b | Cosmos 2572,Active,20.0
CASC,Long March 2D/YZ-3 | 3 x SatNet test satellites,Active,30.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-29,Active,67.0
NADA,Chŏllima 1 | Manligyeong 1 #3,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 7-7,Active,67.0
SpaceX,Starship-Super Heavy (Prototype) | Starship Flight Test 2,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-28,Active,67.0
CASC,Long March 2C/YZ-1S | Haiyang 3-01,Active,30.8
SpaceX,Falcon 9 Block 5 | O3b mPOWER 5 & 6,Active,67.0
SpaceX,Falcon 9 Block 5 | Transporter 9,Active,67.0
SpaceX,Falcon 9 Block 5 | CRS SpX-29,Active,67.0
CASC,Long March 3B/E | ChinaSat 6E,Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 6-27,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-26,Active,67.0
CASC,Long March 7A | TJSW-10,Active,
Virgin Galactic,SpaceShipTwo | Galactic-05,Active,
CASC,Long March 6A | Tianhui 5,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-25,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-6,Active,67.0
VKS RF,Soyuz 2.1b | Cosmos 2570,Active,20.0
CASC,Long March 2F/G | Shenzhou 17,Active,
CASC,Long March 2D | Yaogan 39 Group 04,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-24,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-5,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-23,Active,67.0
CASC,Long March 2D | Yunhai-1 04,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-22,Active,67.0
SpaceX,Falcon Heavy | Psyche,Active,97.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-4,Active,67.0
Arianespace,"Vega | THEOS-2, TRITON & SSMS n°5",Active,37.0
ULA,Atlas V 501 | Project Kuiper Protoflight,Active,120.0
Virgin Galactic,SpaceShipTwo | Galactic-04,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-21,Active,67.0
CASC,Long March 2D | Yaogan 39 Group 03,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-19,Active,67.0
IRGC,Qased | Nour 3,Active,
CASC,Long March 4C | Yaogan 33-04,Active,64.68
SpaceX,Falcon 9 Block 5 | Starlink Group 7-3,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-18,Active,67.0
Galactic Energy,Ceres-1 | Autumn Sonata,Active,4.38
SpaceX,Falcon 9 Block 5 | Starlink Group 6-17,Active,67.0
Rocket Lab,Electron/Curie | We Will Never Desert You,Active,7.5
CASC,Long March 2D | Yaogan 39 Group 02,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-16,Active,67.0
Roscosmos,Soyuz 2.1a | Soyuz MS-24,Active,17.42
Firefly,Alpha | VICTUS NOX (TacRS-3),Active,15.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-2,Active,67.0
ULA,Atlas V 551 | SILENTBARKER (NROL-107),Active,153.0
CASC,Long March 6A | Yaogan 40,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-14,Active,67.0
Virgin Galactic,SpaceShipTwo | Galactic-03,Active,
MHI,H-IIA 202 | SLIM & XRISM,Active,90.0
CASC,Long March 4C | Yaogan 33-03,Active,64.68
Galactic Energy,Ceres-1S | The Little Mermaid,Active,4.38
SpaceX,Falcon 9 Block 5 | Starlink Group 6-12,Active,67.0
SpaceX,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 2)",Active,67.0
ISRO,PSLV-XL | Aditya L1,Active,31.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-13,Active,67.0
CASC,Long March 2D | Yaogan 39 Group 01,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-11,Active,67.0
SpaceX,Falcon 9 Block 5 | SpaceX Crew-7,Active,67.0
Galactic Energy,Ceres-1 | Cornfield Chase,Active,4.38
Rocket Lab,Electron/Curie | We Love the Nightlife,Active,7.5
NADA,Chŏllima 1 | Manligyeong 1 #2,Active,
Roscosmos,Soyuz 2.1a | Progress MS-24,Active,17.42
SpaceX,Falcon 9 Block 5 | Starlink Group 7-1,Active,67.0
CASC,Long March 4C | Gaofen-12 04,Active,64.68
SpaceX,Falcon 9 Block 5 | Starlink Group 6-10,Active,67.0
ExPace,Kuaizhou 1A | HEAD-3A/B/C/D/E,Active,5.8
CASC,Long March 3B/E | L-SAR4-01 (LTDC-4A),Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 6-9,Active,67.0
Roscosmos,Soyuz 2.1b/Fregat-M | Luna 25,Active,25.0
Virgin Galactic,SpaceShipTwo | Galactic 02,Active,
Galactic Energy,Ceres-1 | Lucky 7,Active,4.38
