Name,Location,Total_Area,Price_per_SQFT
Casagrand ECR 14,"Kanathur Reddikuppam, Chennai",2583,7700.0
"Ramanathan Nagar, Pozhichalur,Chennai","Ramanathan Nagar, Pozhichalur,Chennai",7000,3210.0
DAC Prapthi,"Kasthuribai Nagar, West Tambaram,Chennai",1320,7580.0
"Naveenilaya,Chepauk, Triplicane,Chennai","Naveenilaya,Chepauk, Triplicane,Chennai",4250,7840.0
VGN Spring Field Phase 1,"Avadi, Chennai",960,5000.0
KG Earth Homes,"Siruseri, Chennai",940,4250.0
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai","THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",880,6820.0
TK Jasmine Grove,"Mahindra World City, Chennai",1700,4250.0
Avenue,"Brindavan Colony, West Tambaram,Chennai",840,5000.0
Guru Kothai Aparts,"New Colony, Chromepet,Chennai",535,5610.0
Mahindra Lifespaces Aqualilly Flexi Homes,"Mahindra World City, Chennai",581,5060.0
DRA 90 Degrees,"Rose Avenue, Pallikaranai,Chennai",1444,9000.0
"Ramakrishna Puram, West Mambalam,Chennai","Ramakrishna Puram, West Mambalam,Chennai",6000,14170.0
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","Deepak home,Mettuppalayam, Ashok Nagar,Chennai",878,13100.0
"Chimaera Apartments,Madambakkam, Chennai","Chimaera Apartments,Madambakkam, Chennai",944,5190.0
SSM Nagar,"Perungalathur, Chennai",1317,4330.0
"ARUN EXCELLO ,Padappai, Chennai","ARUN EXCELLO ,Padappai, Chennai",820,3050.0
Ramcons Dominion,"Tirumurthy Nagar, Nungambakkam,Chennai",1658,15680.0
VGN Coasta,"Muttukadu, Chennai",4200,7070.0
"Ramanathan Nagar, Pozhichalur,Chennai","Ramanathan Nagar, Pozhichalur,Chennai",2838,5710.0
CasaGrand Vistaaz,"Kolapakkam - Vandalur, Chennai",1566,6900.0
"penta concept enclave,Thiruverkkadu, Chennai","penta concept enclave,Thiruverkkadu, Chennai",2350,4250.0
VGN Platina,"MGR Nagar, Ayappakkam,Chennai",868,4610.0
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai","Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",926,9610.0
