Uniq Id,Mrp,Price,Offers,Combo Offers
eb49cc038190f6f03c272f79fbbce894,2000.00,799.00,60.05%,
1657cc30c438affede6a5060d6847363,2040.00,2040.00,0%,
41654633cce38c8650690f6dbac01fd3,1824.00,1042.00,42.87%,
08b1bd85c3efc2d7aa556fd79b073382,2185.00,1399.00,35.97%,
3ac3f213732512d1d11bb73ab3b1900f,594.00,570.00,4.04%,
f89b246d4e27c11623dbc7742523f319,5344.00,5344.00,0%,
ddb01f73b53ea264c0a9fcc31b1dbd72,9086.00,7269.00,20.0%,
516c5986d5dc20efaa37a58cbdea755a,1659.00,1659.00,0%,
fc4d5d08dcad5e10f3408e89990065a0,760.00,660.00,13.16%,
306bc2d444aa62cd53eb46fdbfd5c6f5,279.00,279.00,0%,
e7ddc8be1bac2d440e7b48eea054fb4e,5249.00,4199.00,20.0%,
a9914e9c54f2fc517f85b0f336dac0e2,5120.00,5120.00,0%,
a47e15fd47e09231ab228367ed088348,390.00,325.00,16.67%,
9e1ad76cd98a53227937ee8c20ac86bb,289.00,289.00,0%,
a27e8ca25e5441693df6c764bfccf07a,1199.00,499.00,58.38%,
dfaa7b5ae6027134dfe90eaeb9be61a7,599.00,598.00,0.17%,
a679bd6e1ed06554b42c9d4bc5bf3899,950.00,650.00,31.58%,
374ef0b2dc86f5f9baf0fb013ab4ab99,4544.00,4544.00,0%,
2a2a900c4b9112a0157279e7b0ec43e0,2206.00,1651.00,25.16%,
a29704747d62747acb0a7466fba4f9e9,3299.00,1033.00,68.69%,
1da2e7e1689b4770449da46c4b0094f3,4091.00,4091.00,0%,
f8a030923ea8e1bceb845b5f5aa4e531,11097.00,3699.00,66.67%,
d3dc01d74b62d77e553446bb45940f87,374.00,207.00,44.65%,
ba21ee7182bbc08eb0a82ae2e363855e,2000.00,1499.00,25.05%,
0ff6f31bc16523bbb6c9ded0d4df32b1,340.00,340.00,0%,
deb1658d991b425650af5953e1a544dd,999.00,179.00,82.08%,
367fdc141ec9b8121e770f26d3e77c03,245.00,245.00,0%,
9cefa5b902cb0765c09c9ea81104d42b,999.00,399.00,60.06%,
