id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
1,Vostok 1,Vostok 2,Vostok 3,1.77,1.77,0,0.0,0.0
2,Vostok 2,Vostok 2,Vostok 2,25.0,25.3,0,0.0,0.0
3,MA-6,MA-6,MA-6,5.0,218.0,0,0.0,0.0
4,STS-95,STS-95,STS-95,213.0,218.0,0,0.0,0.0
5,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5.0,5.0,0,0.0,0.0
6,Vostok 3,Vostok 3,Vostok 3,94.0,519.33,0,0.0,0.0
7,Soyuz 9,Soyuz 9,Soyuz 9,424.0,519.33,0,0.0,0.0
8,Vostok 4,Vostok 4,Vostok 4,70.93,448.45,0,0.0,0.0
9,Soyuz 14,Soyuz 14,Soyuz 14,377.0,448.45,0,0.0,0.0
10,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,295.2,0,0.0,0.0
11,Gemini 6A,Gemini 6A,Gemini 6A,25.87,295.2,0,0.0,0.0
12,Apollo 7,Apollo 7,Apollo 7,260.13,295.2,0,0.0,0.0
13,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,225.0,0,0.0,0.0
14,Gemini 5,Gemini 5,Gemini 5,191.92,225.0,0,0.0,0.0
15,Vostok 5,Vostok 5,Vostok 5,119.13,497.8,0,0.0,0.0
16,Soyuz 22,Soyuz 22,Soyuz 22,189.0,497.8,0,0.0,0.0
17,Soyuz 31,Salyut 6,Soyuz 29,188.0,497.8,0,0.0,0.0
18,Vostok 6,Vostok 6,Vostok 6,70.83,70.83,0,0.0,0.0
19,Voskhod 1,Voskhod 1,Voskhod 1,24.28,51.07,0,0.0,0.0
20,Soyuz 1,Soyuz 1,Soyuz 1,26.78,51.07,0,0.0,0.0
21,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0.0,0.0
22,Voskhod 1,Voskhod 1,Voskhod 1,24.28,24.28,0,0.0,0.0
23,Voskhod 2,Voskhod 2,Voskhod 2,26.03,26.03,0,0.0,0.0
24,Voskhod 2,Voskhod 2,Voskhod 2,26.03,168.53,1,0.73,0.73
25,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142.0,168.53,0,0.0,0.73
26,Gemini 3,Gemini 3,Gemini 3,4.86,4.86,0,0.0,0.0
27,Gemini 3,Gemini 3,Gemini 3,4.86,835.65,0,0.0,20.23
28,Gemini 10,Gemini 10,Gemini 10,70.77,835.65,0,0.0,20.23
29,Apollo 10,Apollo 10,Apollo 10,192.05,835.65,0,0.0,20.23
30,Apollo 16,Apollo 16,Apollo 16,265.85,835.65,3,20.23,20.23
31,STS-1,STS-1,STS-1,54.5,835.65,0,0.0,20.23
32,STS-9,STS-9,STS-9,240.0,835.65,0,0.0,20.23
33,Gemini 4,Gemini 4,Gemini 4,97.0,338.0,0,0.0,0.0
34,Apollo 9,Apollo 9,Apollo 9,241.0,338.0,0,0.0,0.0
35,Gemini 4,Gemini 4,Gemini 4,97.93,97.93,1,0.33,0.33
36,Gemini 5,Gemini 5,Gemini 5,191.0,1179.0,0,0.0,12.77
37,Gemini 11,Gemini 11,Gemini 11,71.0,1179.0,0,0.0,12.77
