Neo Reference ID,Close Approach Date,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles)
3703080,1995-01-01,788947200000,6.1158343887,22017.003799315,13680.5099440799,0.4194825299,163.1787109375,62753692.0,38993336.0
3723955,1995-01-01,788947200000,18.1139850263,65210.3460948409,40519.1731054305,0.3830144627,148.9926300049,57298148.0,35603420.0
2446862,1995-01-08,789552000000,7.5907111617,27326.5601819679,16979.6617975122,0.0509560159,19.8218898773,7622911.5,4736657.5
3092506,1995-01-15,790156800000,11.1738744976,40225.948191338,24994.8398636678,0.2853223297,110.9903869629,42683616.0,26522368.0
3514799,1995-01-15,790156800000,9.8408310539,35426.9917941048,22012.9549845092,0.4078321707,158.6467132568,61010824.0,37910368.0
3671135,1995-01-15,790156800000,10.8088439585,38911.83825064,24178.3030507935,0.3927847844,152.7932739258,58759768.0,36511628.0
2495323,1995-01-15,790156800000,10.8088415879,38911.829716462,24178.2977479872,0.392783196,152.7926635742,58759532.0,36511480.0
2153315,1995-01-22,790761600000,24.4218839949,87918.7823817199,54629.3123082415,0.1291791611,50.2506942749,19324928.0,12007954.0
2162463,1995-01-22,790761600000,17.373783837,62545.6218132504,38863.4170650166,0.3582829267,139.3720550537,53598364.0,33304478.0
2306383,1995-01-22,790761600000,12.8996097219,46438.5949989635,28855.1369869948,0.1518057418,59.0524330139,22709816.0,14111226.0
3444370,1995-01-22,790761600000,22.4213663146,80716.918732587,50154.3543091455,0.2010399884,78.2045516968,30075154.0,18687834.0
3448992,1995-01-22,790761600000,17.2746114639,62188.6012700346,38641.5783835946,0.4310155871,167.6650543213,64479012.0,40065400.0
3611400,1995-01-22,790761600000,12.1185099534,43626.6358322947,27107.8949147945,0.3598014121,139.9627532959,53825524.0,33445630.0
2162854,1995-02-08,792230400000,10.8299262895,38987.734642195,24225.4621169794,0.4306559914,167.525177002,64425220.0,40031976.0
3446396,1995-02-08,792230400000,39.6053279147,142579.1804929074,88593.1580123846,0.3009631412,117.0746612549,45023444.0,27976272.0
3764806,1995-02-08,792230400000,25.2112885836,90760.6389007836,56395.1314325452,0.4959739922,192.933883667,74196656.0,46103664.0
3314405,1995-02-15,792835200000,3.0890039286,11120.4141428446,6909.7928878136,0.2388244997,92.9027328491,35727636.0,22200124.0
3426410,1995-02-15,792835200000,20.0192419349,72069.2709657714,44781.0422842595,0.4780869949,185.9758453369,71520800.0,44440964.0
3666785,1995-02-15,792835200000,8.5263208443,30694.755039371,19072.527096547,0.4612592433,179.4298400879,69003400.0,42876724.0
3702321,1995-02-15,792835200000,7.9195240447,28510.2865608238,17715.1833355297,0.1072710745,41.7284469604,16047525.0,9971469.0
3719196,1995-02-15,792835200000,4.6554785934,16759.7229360863,10413.840065481,0.2554883015,99.3849487305,38220508.0,23749122.0
3447920,1995-02-15,792835200000,2.1643728488,7791.7422557238,4841.485625508,0.4228501583,164.4887084961,63257484.0,39306380.0
3005973,1995-02-22,793440000000,28.4189542612,102308.2353404514,63570.3587869599,0.0485413736,18.8825950623,7261686.5,4512202.5
3660308,1995-02-22,793440000000,10.551519772,37985.471179349,23602.6945780794,0.0197382264,7.6781702042,2952796.75,1834782.875
3348144,1995-02-22,793440000000,17.5649076525,63233.6675491447,39290.9419279672,0.4340489593,168.8450469971,64932800.0,40347372.0
3646046,1995-02-22,793440000000,19.223165458,69203.3956488727,43000.2988130454,0.1020481263,39.696723938,15266183.0,9485966.0
3780693,1995-02-22,793440000000,7.1641480595,25790.9330143395,16025.4827943822,0.2115968709,82.3111877441,31654442.0,19669158.0
2162173,1995-03-08,794649600000,13.5763026447,48874.689520897,30368.8313859151,0.3507449112,136.4397735596,52470692.0,32603776.0
3092312,1995-03-08,794649600000,11.4702980441,41293.0729588648,25657.9096949124,0.0517703658,20.138671875,7744736.5,4812356.5
3273782,1995-03-08,794649600000,11.9306425303,42950.3131091804,26687.6542760905,0.0975441157,37.9446640015,14592393.0,9067292.0
3600106,1995-03-08,794649600000,9.8741431619,35546.9153827062,22087.4708387709,0.1466999837,57.0662918091,21946004.0,13636615.0
3684008,1995-03-08,794649600000,15.938707162,57379.3457833544,35653.2940507738,0.1729029027,67.259223938,25865906.0,16072328.0
3751815,1995-03-08,794649600000,11.7404134833,42265.4885399758,26262.1309208533,0.3331832833,129.6083068848,49843512.0,30971322.0
2483656,1995-03-08,794649600000,11.9306119236,42950.2029249665,26687.5858119049,0.0975437554,37.944519043,14592338.0,9067258.0
3182169,1995-03-15,795254400000,3.8380167643,13816.8603514779,8585.2597000614,0.0864847003,33.6425476074,12937927.0,8039255.0
2267221,1995-03-22,795859200000,14.6506071817,52742.1858542341,32771.9432048156,0.49345027,191.9521636963,73819112.0,45869068.0
2382875,1995-03-22,795859200000,7.5148753568,27053.5512844418,16810.0246856022,0.4991803786,194.1811676025,74676320.0,46401716.0
2396793,1995-03-22,795859200000,14.3828211868,51778.1562725826,32172.9327128167,0.4209661835,163.7558441162,62975644.0,39131252.0
2419472,1995-03-22,795859200000,16.5382492667,59537.6973600401,36994.4097846316,0.3724623296,144.8878479004,55719572.0,34622536.0
3647009,1995-03-22,795859200000,7.3391408326,26420.9069973864,16416.9241284594,0.071064889,27.644241333,10631156.0,6605894.0
3713321,1995-03-22,795859200000,10.5995937061,38158.5373419197,23710.23116115,0.3935150166,153.0773468018,58869008.0,36579508.0
3747315,1995-03-22,795859200000,22.8246286413,82168.6631087621,51056.411807775,0.4729642584,183.9830932617,70754448.0,43964776.0
3771614,1995-03-22,795859200000,20.3742223265,73347.2003754896,45575.0979222036,0.2243809656,87.2841949463,33566916.0,20857514.0
2312942,1995-04-08,797324400000,22.9603499373,82657.2597742512,51360.0067747285,0.086732912,33.7391014099,12975059.0,8062327.5
