id,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title
1,TsPK-1,1960,1,1,pilot,1961,Vostok 1
2,TsPK-1,1960,1,1,pilot,1961,Vostok 2
3,NASA Astronaut Group 1,1959,1,2,pilot,1962,MA-6
4,NASA Astronaut Group 2,1959,2,2,PSP,1998,STS-95
5,NASA- 1,1959,1,1,Pilot,1962,Mercury-Atlas 7
6,TsPK-1,1960,1,2,pilot,1962,Vostok 3
7,TsPK-2,1960,2,2,pilot,1970,Soyuz 9
8,TsPK-1,1960,1,2,pilot,1962,Vostok 4
9,TsPK-2,1960,2,2,commander,1974,Soyuz 14
10,1959 NASA group 1,1959,1,3,pilot,1962,Mercury-Atlas 8
11,1960 NASA group 1,1959,2,3,commander,1965,Gemini 6A
12,1961 NASA group 1,1959,3,3,commander,1968,Apollo 7
13,NASA- 1,1959,1,2,pilot,1963,Mercury-Atlas 9
14,NASA- 1,1959,2,2,commander,1965,Gemini 5
15,TsPK-1,1960,1,3,pilot,1963,Vostok 5
16,TsPK-2,1960,2,3,commander,1976,Soyuz 22
17,TsPK-3,1960,3,3,commander,1978,Soyuz 31/29
18,VVS Women,1962,1,1,pilot,1963,Vostok 6
19,TsPK-1,1960,1,2,commander,1964,Voskhod 1
20,TsPK-2,1960,2,2,commander,1967,Soyuz 1
21,Voskhod-1 / TsKBEM-1,1964,1,1,MSP,1964,Voskhod 1
22,Voskhod-1,1964,1,1,MSP,1964,Voskhod 1
23,TsPK-1,1960,1,1,commander,1965,Voskhod 2
24,TsPK-1,1960,1,2,pilot,1965,Voskhod 2
25,TsPK-2,1960,2,2,commander,1975,Soyuz 19
26,NASA Astronaut Group 2,1959,1,1,commander,1965,Gemini 3
27,1962 NASA group 2,1962,1,6,pilot,1965,Gemini 3
28,1963 NASA group 2,1962,2,6,pilot,1966,Gemini 10
29,1964 NASA group 2,1962,3,6,pilot,1969,Apollo 10
30,1965 NASA group 2,1962,4,6,commander,1972,Apollo 16
31,1966 NASA group 2,1962,5,6,commander,1981,STS-1
32,1967 NASA group 2,1962,6,6,commander,1983,STS-9
33,NASA- 2,1962,1,2,commander,1965,Gemini 4
34,NASA- 2,1962,2,2,commander,1969,Apollo 9
35,1962 NASA group 2,1962,1,1,pilot,1965,Gemini 4
36,NASA- 2,1962,1,4,pilot,1965,Gemini 5
37,NASA- 2,1962,2,4,commander,1966,Gemini 11
38,NASA- 2,1962,3,4,commander,1969,Apollo 12
39,NASA- 2,1962,4,4,commander,1973,Skylab 2
40,NASA- 2,1962,1,2,commander,1965,Gemini 7
41,NASA- 2,1962,2,2,commander,1968,Apollo 8
42,NASA- 2,1962,1,4,pilot,1965,Gemini 7
43,NASA- 2,1962,2,4,commander,1966,Gemini 12
44,NASA- 2,1962,3,4,pilot,1968,Apollo 8
45,NASA- 2,1962,4,4,commander,1970,Apollo 13
46,1996 NASA group,1962,1,4,pilot,1965,gemini 6A
47,1996 NASA group,1962,2,4,commander,1966,Gemini 9A
48,1996 NASA group,1962,3,4,commander,1969,Apollo 10
49,1996 NASA group,1962,4,4,commander,1975,ASTP
50,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,1,2,commander,1966,Gemini 8
51,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962,2,2,commander,1969,Apollo 11
52,1963 NASA group 3,1963,1,3,pilot,1966,Gemini 8
53,1963 NASA group 3,1963,2,3,pilot,1969,Apollo 9
54,1963 NASA group 3,1963,3,3,commander,1971,Apollo 15
55,NASA- 3,1963,1,3,pilot,1966,Gemini 9A
56,NASA- 3,1963,2,3,pilot,1969,Apollo 10
57,NASA- 3,1963,3,3,commander,1972,Apollo 17
58,NASA- 3,1963,1,2,pilot,1966,Gemini 10
59,NASA- 3,1963,2,2,pilot,1969,Apollo 11
60,NASA Astronaut Group 3,1963,1,2,pilot,1966,Gemini 11
61,NASA Astronaut Group 4,1963,2,2,pilot,1969,Apollo 12
62,NASA- 3,1963,1,2,pilot,1966,Gemini 12
