id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian
1,1,1,"Gagarin, Yuri",ГАГАРИН Юрий Алексеевич,male,1934,U.S.S.R/Russia,military
2,2,2,"Titov, Gherman",ТИТОВ Герман Степанович,male,1935,U.S.S.R/Russia,military
3,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,U.S.,military
4,3,1,"Glenn, John H., Jr.","Glenn, John H., Jr.",male,1921,U.S.,military
5,4,2,"Carpenter, M. Scott","Carpenter, M. Scott",male,1925,U.S.,military
6,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,U.S.S.R/Russia,military
7,5,2,"Nikolayev, Andriyan",НИКОЛАЕВ Андриян Григорьевич,male,1929,U.S.S.R/Russia,military
8,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,U.S.S.R/Russia,military
9,6,4,"Popovich, Pavel",ПОПОВИЧ Павел Романович,male,1930,U.S.S.R/Russia,military
10,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military
11,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military
12,7,3,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.",male,1923,U.S.,military
13,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,U.S.,military
14,8,4,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.",male,1927,U.S.,military
15,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military
16,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military
17,9,5,"Bykovsky, Valery",БЫКОВСКИЙ Валерий Федорович,male,1934,U.S.S.R/Russia,military
18,10,6,"Tereshkova, Valentina",ТЕРЕШКОВА Валентина Владимировна,female,1937,U.S.S.R/Russia,military
19,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,U.S.S.R/Russia,military
20,11,7,"Komarov, Vladimir",КОМАРОВ Владимир Михайлович,male,1927,U.S.S.R/Russia,military
21,12,8,"Feoktistov, Konstantin",ФЕОКТИСТОВ Константин Петрович,male,1926,U.S.S.R/Russia,civilian
22,13,9,"Yegorov, Boris",ЕГОРОВ Борис Борисович,male,1937,U.S.S.R/Russia,civilian
23,14,10,"Belyayev, Pavel",БЕЛЯЕВ Павел Иванович,male,1925,U.S.S.R/Russia,military
24,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,U.S.S.R/Russia,military
25,15,11,"Leonov, Aleksei",ЛЕОНОВ Алексей Архипович,male,1934,U.S.S.R/Russia,military
26,16,5,"Grissom, Virgil I.","Grissom, Virgil I.",male,1926,U.S.,military
27,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
28,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
29,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
30,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
31,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
32,17,6,"Young, John W.","Young, John W.",male,1930,U.S.,military
33,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,U.S.,military
34,18,7,"McDivitt, James A.","McDivitt, James A.",male,1929,U.S.,military
35,19,8,"White, Edward H., II","White, Edward H., II",male,1930,U.S.,military
36,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military
37,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military
38,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military
39,20,9,"Conrad, Charles, Jr.","Conrad, Charles, Jr.",male,1930,U.S.,military
40,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military
41,21,10,"Borman, Frank","Borman, Frank",male,1928,U.S.,military
42,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military
43,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military
44,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military
45,22,11,"Lovell, James A., Jr.","Lovell, James A., Jr.",male,1928,U.S.,military
46,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military
47,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military
48,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military
49,23,12,"Stafford, Thomas P.","Stafford, Thomas P.",male,1930,U.S.,military
50,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian
51,24,13,"Armstrong, Neil A.","Armstrong, Neil A.",male,1930,U.S.,civilian
52,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military
53,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military
54,25,14,"Scott, David R.","Scott, David R.",male,1932,U.S.,military
55,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military
56,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military
57,26,15,"Cernan, Eugene A.","Cernan, Eugene A.",male,1934,U.S.,military
58,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian
59,27,16,"Collins, Michael","Collins, Michael",male,1930,U.S.,civilian
60,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military
61,28,17,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.",male,1929,U.S.,military
62,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military
63,29,18,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military
64,30,19,"Eisele, Donn F.","Eisele, Donn F.",male,1930,U.S.,military
65,31,20,"Cunningham, Ronnie Walter","Cunningham, Ronnie Walter",male,1932,U.S.,civilian
66,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian
67,100,50,"Savinykh, Viktor",Виктор Петрович Савиных,male,1940,U.S.S.R/Russia,civilian
68,101,1,Jugderdemidiin Gurragchaa,Жүгдэрдэмидийн Гүррагчаа,male,1947,Mongolia,civilian
69,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military
70,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military
71,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military
72,102,44,"Crippen, Robert L.","Crippen, Robert L.",male,1937,U.S.,military
73,103,1,Dumitru Prunariu,Dumitru-Dorin Prunariu,male,1952,Romania,civilian
74,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military
75,104,45,"Engle, Joe H.","Engle, Joe H.",male,1932,U.S.,military
76,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military
77,105,46,"Truly, Richard H.","Truly, Richard H.",male,1937,U.S.,military
78,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military
79,106,47,"Fullerton, Charles G.","Fullerton, Charles G.",male,1936,U.S.,military
80,107,51,"Berezovoy, Anatoly",Анатолий Николаевич Березовой,male,1942,U.S.S.R/Russia,military
81,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military
82,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military
83,108,1,"Chrétien, Jean-Loup","Chrétien, Jean-Loup",male,1938,France,military
84,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military
85,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military
86,109,48,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.",male,1933,U.S.,military
87,110,52,"Serebrov, Aleksandr",Александр Александрович Серебров,male,1944,U.S.S.R/Russia,civilian
88,32,12,"Beregovoi, Georgi",БЕРЕГОВОЙ Георгий Тимофеевич,male,1921,U.S.S.R/Russia,military
89,33,21,"Anders, William Alison","Anders, William Alison",male,1933,U.S.,civilian
90,34,13,"Shatalov, Vladimir",ШАТАЛОВ Владимир Александрович,male,1927,U.S.S.R/Russia,military
