Name,Liftoff Thrust,Payload to LEO,Stages,Strap-ons,Rocket Height,Price,Payload to GTO,Fairing Diameter,Fairing Height
Tsyklon-3,"3,032",4.1,3.0,0.0,39.0 m,,0.0,,
Tsyklon-4M,"3,130",5.0,2.0,0.0,38.7 m,$45.0 million,0.91,4.0 m,
Unha-2,"1,192",0.2,3.0,0.0,28.0 m,,0.0,,
Unha-3,"1,192",0.2,3.0,0.0,32.0 m,,0.0,1.3 m,
Vanguard,135,0.01,3.0,0.0,23.0 m,,0.0,,
Vector-H,175,0.15,2.0,0.0,18.3 m,$3.0 million,0.0,0.6 m,0.8 m
Vector-R,81,0.065,2.0,0.0,13.0 m,$2.0 million,0.0,0.6 m,0.8 m
Vega,"2,200",1.436,4.0,0.0,29.9 m,$37.0 million,0.0,2.6 m,7.88 m
Vega C,"4,500",2.2,4.0,0.0,35.0 m,,0.0,,
Vega E,,0.0,4.0,0.0,35.0 m,,0.0,,
VLS-1,623,0.38,3.0,4.0,19.0 m,,0.0,1.0 m,
Volna,,0.1,3.0,0.0,15.0 m,,0.0,,
Voskhod,,5.9,2.0,4.0,31.0 m,,0.0,3.0 m,
Vostok,"3,894",4.73,2.0,4.0,31.0 m,,0.0,,
Vostok-2,995,4.73,2.0,4.0,,,0.0,,
Vostok-2A,,4.5,3.0,4.0,,,0.0,,
Vostok-2M,,0.0,3.0,4.0,,,0.0,,
Vulcan Centaur,,17.8,2.0,,58.3 m,,15.3,5.4 m,
Zenit-2,"8,181",1.2,2.0,0.0,57.0 m,,5.0,4.1 m,13.7 m
Zenit-2 FG,"7,400",11.74,2.0,0.0,57.0 m,,4.0,4.1 m,10.4 m
Zenit-3 SL,"8,180",13.74,3.0,0.0,59.6 m,,6.0,3.9 m,
Zenit-3 SLB,"7,400",13.74,3.0,0.0,57.0 m,,5.0,4.1 m,10.4 m
Zenit-3 SLBF,"8,180",13.74,3.0,0.0,57.0 m,,6.0,4.1 m,10.4 m
