EmpID,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,Performance Score,Current Employee Rating
3427,20-Sep-19,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,Accounting,Fully Meets,4
3428,11-Feb-23,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,Labor,Fully Meets,3
3429,10-Dec-18,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,Assistant,Fully Meets,4
3430,21-Jun-21,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Clerk,Fully Meets,2
3431,29-Jun-19,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,Laborer,Fully Meets,3
3432,17-Jan-20,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Fully Meets,3
3433,06-Apr-22,03-Jul-23,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,Technician,Exceeds,4
3434,06-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,Engineer,Fully Meets,2
3435,18-Aug-18,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,Executive Assistant,Exceeds,3
3436,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,Engineer,Fully Meets,5
3437,04-Aug-23,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,Technician,Fully Meets,5
3438,10-Aug-18,04-Nov-19,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Technician,Fully Meets,3
