Name,Baths,Balcony
Casagrand ECR 14,4,Yes
"Ramanathan Nagar, Pozhichalur,Chennai",6,Yes
DAC Prapthi,3,No
"Naveenilaya,Chepauk, Triplicane,Chennai",5,Yes
VGN Spring Field Phase 1,3,Yes
KG Earth Homes,3,No
"THIRAN FLATS ,Gowrivakkam, Sembakkam,Chennai",3,Yes
TK Jasmine Grove,3,Yes
Avenue,3,No
Guru Kothai Aparts,2,No
Mahindra Lifespaces Aqualilly Flexi Homes,2,Yes
DRA 90 Degrees,3,No
"Ramakrishna Puram, West Mambalam,Chennai",1,Yes
"Deepak home,Mettuppalayam, Ashok Nagar,Chennai",3,Yes
"Chimaera Apartments,Madambakkam, Chennai",3,No
SSM Nagar,3,No
"ARUN EXCELLO ,Padappai, Chennai",3,No
Ramcons Dominion,3,Yes
VGN Coasta,5,Yes
"Ramanathan Nagar, Pozhichalur,Chennai",4,Yes
CasaGrand Vistaaz,3,No
"penta concept enclave,Thiruverkkadu, Chennai",4,Yes
VGN Platina,3,Yes
"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai",3,Yes
"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai",3,Yes
Shakthi Mangalambikai Apartments,3,Yes
Akshaya January,2,Yes
Jamans,3,Yes
"Live Green,Kattur, Chennai",2,No
Sumeru Puthur City,3,No
Redmond Square,3,No
Ambrosia Apartments,3,Yes
"Annamalai Colony, Saligramam,Chennai",3,Yes
"Vn Nattrunai ,Thirumullaivoyal, Chennai",3,No
"Krishna Nagar, Sriperumbudur,Chennai",3,Yes
Jones Dawn Villas by Jones Foundations,3,Yes
"Swarnambigai Nagar, Virugambakkam,Chennai",4,Yes
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",3,Yes
Khurinji Zinnia,2,Yes
"Kottavakkam, Chennai",3,Yes
VGN Imperia Phase 3,3,No
"Bharathi Nagar, Ayanavaram,Chennai",4,Yes
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",2,No
Alliance Galleria Residences,3,No
"Veppampattu, Chennai",2,Yes
"Shankar Nagar, Pammal,Chennai",3,Yes
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",3,Yes
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",3,Yes
Krishna Apartment,3,Yes
Raghavendra Aishwaryam Flats,3,Yes
"Madambakkam, Chennai",3,Yes
"Tambaram Mount, West Tambaram,Chennai",3,Yes
"Building velachery ,Anna Nagar Extension, Velachery,Chennai",2,Yes
"Shri Vihar ,Sembakkam, Chennai",3,Yes
Indra Enclave,3,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",3,Yes
"TNHB Colony, Villivakkam,Chennai",4,Yes
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",3,Yes
"Kandasamy Nagar, Porur,Chennai",3,Yes
"Viswas Castle,Urapakkam, Chennai",3,No
"Puzhal, Chennai",3,Yes
"Venkateshwara Nagar, Ramapuram,Chennai",3,No
"Velachery, Chennai",3,Yes
Jayam Villa,2,No
"Kallikuppam, Ambattur,Chennai",3,No
"AGS Colony, Adambakkam,Chennai",3,No
"Lakshmipuram, Kolathur,Chennai",3,No
"Veera Vanchinathan Nagar, Perungudi,Chennai",3,Yes
"Akshaya,Periyar Nagar, Perambur,Chennai",3,No
Ben Le Orchard Apartments,3,Yes
Techcons Blue Alpha,2,Yes
"Ramaniyam Gauravv ,Sholinganallur, Chennai",3,No
BSCPL Bollineni Iris,3,Yes
"Dharan Singh Colony, Vadapalani,Chennai",3,Yes
Amaar Ultra Amaar Avenue Phase 2,3,Yes
Vasantham,3,Yes
"Padupakkam, Triplicane,Chennai",3,Yes
TVH Svaya,3,Yes
"Singaperumal Koil, Chennai",3,Yes
Hiranandani Parks Apartment,3,Yes
Alliance Jasmine Springs,2,No
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",3,No
Plaza Pristine Acres,3,No
Swathy Ayyappa Flats,3,No
"Tirupathi Nagar, Valasaravakkam,Chennai",5,Yes
Narayanan Nagar,2,Yes
Royal,3,Yes
Amarprakash Temple Waves,2,No
Golden Jubilee Flats,3,Yes
 Madambakkam,2,Yes
"Nerkundram, Mogappair,Chennai",3,No
"Ambattur, Chennai",1,Yes
"Kamakshi Nagar, Anakaputhur,Chennai",2,Yes
Prestige Bella Vista,3,Yes
Arun Excello Excello Town House,2,No
Rajparis Harmony,3,No
"BHARATHI ,Thirumullaivoyal, Chennai",3,Yes
"Ponmar, Chennai",3,Yes
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",3,No
Ozone Metrozone,4,Yes
"K G Signature City,Panneer Nagar, Mogappair,Chennai",3,No
"Chinnaiyan Colony, Perambur,Chennai",1,Yes
TNHB LIG Block,2,Yes
 Balambal Apartments,3,No
"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai",3,Yes
"Surya Nagar, Kotturpuram,Chennai",3,Yes
"ert  aprtment,Periyar Nagar, Chromepet,Chennai",2,No
Hansa Abhinav,3,No
"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai",2,No
"Vijaya Gardens, Valasaravakkam,Chennai",4,Yes
Gothi Flats,2,Yes
"Veppampattu, Chennai",3,Yes
GR Natarajan Sundaravedam,3,No
"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai",2,Yes
"Mango Farm,Natesan Nagar, Madhavaram,Chennai",3,Yes
"Srivatsam flats ,Sembiyan, Perambur,Chennai",3,Yes
Alacrity Sangath,3,Yes
"Periyar Nagar, Tiruvottiyur,Chennai",3,Yes
"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai",2,Yes
"Mylapore, Chennai",2,No
"JB HOMES,Vishnu Nagar, West Tambaram,Chennai",3,Yes
BSR Nerkundram,3,No
Mahindra Happinest,2,No
"Veppampattu, Chennai",3,No
Sravan Zebulon,3,Yes
"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai",3,Yes
My Homes Nakshatra,3,Yes
"Annamalai Colony, Saligramam,Chennai",3,No
"Ambattur, Chennai",5,Yes
Jubliee Residences,2,Yes
Ashwanth Vedas,3,No
"Guduvancheri, Chennai",2,No
"Iswaryam Flats,VOC Nagar, Pammal,Chennai",2,No
Lake View Apartment,3,Yes
TK Jasmine Grove,3,Yes
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",3,Yes
Adityaram Nagar Phase 5,5,Yes
CasaGrand Monte Carlo,3,Yes
Pacifica Happiness Towers,4,Yes
Pacifica Aurum Villas,4,Yes
Godrej Palm Grove,3,No
Jain Inseli Park,3,Yes
Pacifica Pride Towers,3,No
Prestige Courtyards by Prestige Estates Projects Ltd.,3,Yes
TVS Flourish ,3,No
Purva Windermere,2,No
Golden Opulence by Golden Homes,3,Yes
TVS Green Acres,3,No
Casagrand Cherry Pick,3,Yes
MP Montana,3,No
SSM Nagar,3,No
Alliance Galleria Residences,2,No
Golden Luxury Villas by Golden Homes,3,No
Aurum Villas,4,Yes
Mahindra Nova,2,Yes
"Chettipunyam, Chennai",3,No
Kochar Neetu Arjun Garden,3,Yes
CasaGrand Primera,2,Yes
MP Silver Bells,2,No
Casagrand Arena,3,Yes
Silversky Lakeside3,3,No
Casagrand Arena,3,No
MP Silver Bells,2,Yes
MP Silver Bells,2,No
Sai Navarathinam,3,No
Jubliee Residences,2,Yes
CasaGrand Savoye,3,No
Pacifica Aurum Villas by Pacifica Companies,4,Yes
Karuppaswamy Tulsi Apartment,3,Yes
Altis Ashraya,3,No
KG Signature City,2,No
KG Earth Homes,2,Yes
MP Urban,3,Yes
Casagrand Arena,3,No
Akshaya Today,3,No
REVOLUTION ONE by Urbanrise,1,No
Akshaya Today,2,Yes
Mahindra Nova,2,Yes
"Sai Enclave ,Kumananchavadi, Chennai",2,No
"ramus redidency,KK Nagar, Chennai",3,No
"Nedunkundram, Chennai",2,No
Twin Courtz,3,Yes
